"bodyid","pre","post","upstream","downstream","status","name","voxels","soma","side","connectivity.type","cell.type","class","cellBodyFiber","ItoLee_Lineage","ItoLee_Hemilineage","Hartenstein_Lineage","Hartenstein_Hemilineage","putative.classic.transmitter","putative.other.transmitter","FAFB.match","FAFB.match.quality","layer","ct.layer","axon.outputs","dend.outputs","axon.inputs","dend.inputs","total.length","axon.length","dend.length","pd.length","segregation_index","notes"
636758191,393,355,355,3628,"Traced","LHPV4a7_d_R",572146405,TRUE,"right","LHPV4a7_d","LHPV4a7_d","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940609672089","medium",3.36065573770492,3,945,2494,62,237,2066.46281067419,312.555027833196,845.343252832148,86.8884552469484,0.0032064732261694,NA
761236545,98,163,163,881,"Traced","LHPV4a7_e_R",233059021,TRUE,"right","LHPV4a7_e","LHPV4a7_e","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940579776196","medium",3.17368961973279,3,732,132,104,52,995.511128532234,454.499589436458,136.924643730422,69.0256022598072,0.0292746183863705,NA
729530620,152,238,238,1650,"Traced","LHPV4a7_f_R",237883966,TRUE,"right","LHPV4a7_f","LHPV4a7_f","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","none","none",3.14461538461538,3,963,653,107,128,1257.12070158693,330.075942769051,427.876501019789,50.1391819751507,0.0116477555448135,NA
574696428,96,184,184,980,"Traced","LHPV4a8_R",210467741,TRUE,"right","LHPV4a8","LHPV4a8","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940643060601","medium",3.39752832131823,3,622,358,60,120,1034.62320163047,247.010770439873,389.104285832406,48.3825397808499,0.0562584601631084,NA
605740410,118,217,217,1223,"Traced","LHPV4a8_R",239472420,TRUE,"right","LHPV4a8","LHPV4a8","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940635729242","medium",3.29313929313929,3,775,448,68,148,1254.48834772475,306.528288059983,475.273575572967,41.7021248871911,0.0626453034446959,NA
729877292,122,182,182,1109,"Traced","LHPV4a8_R",262331945,TRUE,"right","LHPV4a8","LHPV4a8","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940634199397","poor",3.32959183673469,3,802,303,90,86,1107.74778129603,409.150102104477,284.744363303533,39.7247120939356,0.0301048721047192,NA
820581604,290,196,196,2877,"Traced","LHPV4a9_a_R",468256970,TRUE,"right","LHPV4a9_a","LHPV4a9_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940625794832","good",3.12877263581489,3,1038,1580,56,120,1501.17835228126,264.91508481699,545.291803511419,52.6221055760199,0.00331237459074907,NA
729859814,278,228,228,2602,"Traced","LHPV4a9_a_R",465654926,TRUE,"right","LHPV4a9_a","LHPV4a9_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940619547398","medium",3.23147208121827,3,1837,743,142,65,1507.89231606871,566.309942726365,216.336117890475,39.4120029957148,0.000421422366473245,NA
821957319,107,178,178,947,"Traced","LHPV4a9_b_R",227559940,TRUE,"right","LHPV4a9_b","LHPV4a9_b","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940642919801","medium",3.09321175278622,3,542,390,61,110,1173.7845958232,254.45221007692,456.690296203122,34.468926801732,0.0310111382336142,NA
696095496,103,158,158,945,"Traced","LHPV4a9_b_R",201940210,TRUE,"right","LHPV4a9_b","LHPV4a9_b","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940607931721","medium",3.26796714579055,3,662,283,77,77,954.819056636274,252.600299579061,288.649703229653,49.4191329716645,0.0257565609371267,NA
636434899,174,297,297,1657,"Traced","LHPV4b1_a_R",350203791,TRUE,"right","LHPV4b1_a","LHPV4b1_a","LHON","PDL16","SLPp&v1","SLPp&v1_posterior","DPLp2","DPLp2_posterior","glutamate","unknown","720575940602963532","medium",3.37720207253886,3,996,596,86,204,1378.75680681436,300.720944860175,580.856675137452,96.6277655211806,0.0671438187236629,NA
5901193788,206,439,439,1888,"Traced","LHPV4b1_a_R",422699851,TRUE,"right","LHPV4b1_a","LHPV4b1_a","LHON","PDL16","SLPp&v1","SLPp&v1_posterior","DPLp2","DPLp2_posterior","glutamate","unknown","720575940642077817","good",3.34158926728586,3,1090,785,79,347,1676.56338258924,352.402449537478,782.353827339839,84.8739797496691,0.104872859957552,NA
604398262,241,556,556,2171,"Traced","LHPV4b1_b_R",513827484,TRUE,"right","LHPV4b1_b","LHPV4b1_b","LHON","PDL16","SLPp&v1","SLPp&v1_posterior","DPLp2","DPLp2_posterior","glutamate","unknown","720575940605105218","good",3.4514811031665,3,1299,872,127,421,1968.98129630745,491.243655163427,892.940857940364,102.585183620682,0.0894167967940084,NA
543679473,172,295,295,1522,"Traced","LHPV4b2_R",250121817,FALSE,"right","LHPV4b2","LHPV4b2","LHON","PDL16","SLPp&v1","SLPp&v1_posterior","DPLp2","DPLp2_posterior","glutamate","unknown","720575940597652121","good",3.37163561076605,3,924,530,116,167,1413.59824035843,405.167366134966,476.100051942124,100.958610097516,0.0318454805657071,NA
