"bodyid","X","Y","Z"
"607886496","2769","24886","14721"
"607212413","2937","24821","15045"
"577205852","2031","25864","14995"
"576864518","2725","25140","15154"
"548199677","2748","25330","15704"
"544435277","2489","25738","16792"
"516857964","4364","24831","15594"
"515092013","2454","24470","14946"
"513106377","1939","26621","16860"
"511660697","3259","25207","14925"
"485715511","2224","26067","16930"
"482732443","2430","25603","16404"
"391630222","3855","24784","15267"
"387556524","2149","26474","16306"
"331002291","3006","26621","17654"
"329582105","1776","25247","14666"
"5813087454","3408","27026","17995"
"5813020789","3428","26136","16898"
"5813019920","2811","25337","14597"
"609591989","2501","26198","17498"
"609591880","3536","26778","17024"
"609591758","3400","26078","16238"
"609591640","2234","25337","15714"
"609587618","3426","24806","14954"
"609587594","2014","25853","14601"
"609587511","3907","27293","18174"
"579260627","3740","25233","15133"
"579239039","4266","25455","15397"
"550280614","3737","26543","17396"
"548562283","4304","26969","17166"
"548225503","4008","25032","14918"
"543412036","2439","25345","14141"
"519249805","2788","26003","16335"
"518899771","3658","25154","15566"
"391599963","3090","25588","16108"
"361964228","3270","25142","16142"
"360315461","2376","24878","16392"
