bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,class,cellBodyFiber,glomerulus,presyn.glom,layer,ct.layer,axon.outputs,axon.inputs,total.length,cable.length.glom.um,axon.length,notes
1672311578,48,43,43,240,Traced,ORN_DA1_L,59946415,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,46,1,1,240,43,309.0015758,75.81377613,309.0015758,
1672311668,36,52,52,188,Traced,ORN_DA1_R,44165263,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,36,1,1,188,51,263.6838388,100.5446708,263.6838388,
1672315788,95,94,94,514,Traced,ORN_DA1_R,102938685,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,84,1,1,514,93,414.2653186,122.0319466,414.2653186,
1672639485,64,51,51,319,Traced,ORN_DA1_L,67174836,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,49,1,1,319,50,312.3863056,62.2237148,312.3863056,
1672643988,63,40,40,303,Traced,ORN_DA1_L,67018197,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,60,1,1,299,38,349.0457757,92.70126579,349.0457757,
1672652372,90,118,118,480,Traced,ORN_DA1_R,89093640,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,84,1,1,478,118,386.8495056,122.1143089,386.8495056,
1702301766,74,90,90,378,Traced,ORN_DA1_R,53039353,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,65,1,1,375,88,246.6248568,117.3139851,246.6248568,
1703337673,46,53,53,216,Traced,ORN_DA1_L,56739645,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,41,1,1,216,53,367.0947404,115.8880097,367.0947404,
1703342190,73,65,65,328,Traced,ORN_DA1_L,71610147,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,45,1,1,328,64,331.2481354,50.8372596,331.2481354,
1703678670,48,46,46,202,Traced,ORN_DA1_L,58545592,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,47,1,1,202,46,300.7344338,73.16426625,300.7344338,
1703682799,74,91,91,391,Traced,ORN_DA1_R,82761916,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,68,1,1,391,90,376.8961423,133.3326711,376.8961423,
1703682848,62,67,67,320,Traced,ORN_DA1_R,62143689,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,60,1,1,320,66,349.4368339,85.33159808,349.4368339,
1703682852,74,96,96,365,Traced,ORN_DA1_R,62714811,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,74,1,1,365,95,325.5254804,84.62483688,325.5254804,
1703683023,78,118,118,368,Traced,ORN_DA1_R,81689859,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,75,1,1,366,118,407.2316225,135.9800159,407.2316225,
1703683156,68,78,78,324,Traced,ORN_DA1_R,79010984,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,61,1,1,318,78,388.6029947,136.3103977,388.6029947,
1704006659,52,51,51,239,Traced,ORN_DA1_L,50153181,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,50,1,1,239,51,161.2617551,71.77225139,161.2617551,
1704011227,64,69,69,316,Traced,ORN_DA1_L,70740380,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,46,1,1,316,69,346.1048316,55.60987679,346.1048316,
1734350776,42,45,45,211,Traced,ORN_DA1_L,59550899,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,42,1,1,211,44,321.8540222,64.65731078,321.8540222,
1734350800,45,45,45,216,Traced,ORN_DA1_L,56668997,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,42,1,1,216,45,281.9006022,58.26586697,281.9006022,
1734350801,65,76,76,302,Traced,ORN_DA1_L,67283959,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,39,1,1,298,74,350.8281362,91.65668609,350.8281362,
1734350808,67,48,48,304,Traced,ORN_DA1_L,73946073,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,55,1,1,304,47,357.4105046,83.85495953,357.4105046,
1734350882,63,69,69,281,Traced,ORN_DA1_L,33747973,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,61,1,1,281,69,104.112878,73.21516283,104.112878,
1734355225,63,64,64,347,Traced,ORN_DA1,61565505,FALSE,NA,ORN_DA1,ORN_DA1,ORN,NA,DA1,55,1,1,347,62,296.862441,78.76599329,296.862441,
1734355247,63,77,77,300,Traced,ORN_DA1_R,42805485,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,54,1,1,300,77,215.6920218,126.2833218,215.6920218,
1734355428,91,85,85,469,Traced,ORN_DA1_R,60105469,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,87,1,1,469,85,199.3974399,101.9632004,199.3974399,
1734355450,52,43,43,214,Traced,ORN_DA1_L,60670465,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,36,1,1,214,42,307.1562534,55.89008148,307.1562534,
